거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"29,500", ,2003,2021,광화문 플래티넘, 적선동,종로구,5,18,45.36, ,156,11110,15
"37,300", ,2008,2021,광화문 스페이스본, 사직동,종로구,5,7,39.54, ,9,11110,10
"25,000", ,2004,2021,경희궁의 아침 2단지, 내수동,종로구,5,1,28.9, ,71,11110,6
"30,000", ,2004,2021,용비어천가, 내수동,종로구,5,5,41.68, ,75,11110,18
"31,750", ,2004,2021,광화문시대, 내수동,종로구,5,5,40.26, ,74,11110,15
"29,300", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,5,7,37.5, ,72,11110,12
"40,700", ,2004,2021,용비어천가, 내수동,종로구,5,10,45.89, ,75,11110,8
"58,300", ,2004,2021,경희궁의 아침 2단지, 내수동,종로구,5,18,57.8, ,71,11110,5
"29,000", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,5,21,37.5, ,72,11110,2
"28,300", ,2004,2021,광화문시대, 내수동,종로구,5,24,34.9, ,74,11110,7
"28,800", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,5,26,37.5, ,72,11110,3
"119,000", ,2020,2021,디팰리스, 신문로2가,종로구,5,14,70.7, ,171,11110,2
"30,500", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,5,1,36.23, ,24,11110,11
"39,500", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,5,3,45.41, ,24,11110,20
"49,500", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,5,26,57.5, ,24,11110,11
"70,500", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,5,28,96.92, ,24,11110,14
"11,000", ,2004,2021,BIZ-WELL 종로 오피스텔, 익선동,종로구,5,29,17.42, ,34,11110,11
"11,000", ,2004,2021,BIZ-WELL 종로 오피스텔, 익선동,종로구,5,29,17.42, ,34,11110,11
"30,700", ,2005,2021,운현궁 에스케이 허브, 경운동,종로구,5,4,42.22, ,89-4,11110,3
"30,700", ,2005,2021,운현궁 에스케이 허브, 경운동,종로구,5,4,42.22, ,89-4,11110,3
"35,000", ,2006,2021,효성주얼리시티, 인의동,종로구,5,13,60.37, ,48-2,11110,4
"19,000", ,2020,2021,센트럴시티대학로, 효제동,종로구,5,5,17.57, ,167,11110,3
"14,100", ,1996,2021,금호팔레스, 창신동,종로구,5,18,32.07, ,327-2,11110,17
"17,600", ,1996,2021,금호팔레스, 창신동,종로구,5,21,39.71, ,327-2,11110,18
"10,400", ,2013,2021,종로 동광모닝스카이, 숭인동,종로구,5,8,19.95, ,1421-1,11110,3
"30,000", ,2005,2021,동양파라빌, 숭인동,종로구,5,19,54.81, ,1388,11110,4
"17,100", ,2004,2021,종로대우디오빌, 숭인동,종로구,5,20,29.65, ,310,11110,11
"12,500", ,2013,2021,버넷하임1, 숭인동,종로구,5,26,25.88, ,1421,11110,7
"12,500", ,2013,2021,종로 동광모닝스카이, 숭인동,종로구,5,27,19.95, ,1421-1,11110,7
"11,500", ,2012,2021,삼전솔하임2차, 숭인동,종로구,5,29,21.12, ,296-19,11110,2
"26,900", ,2004,2021,롯데캐슬 천지인, 숭인동,종로구,5,31,39.6, ,76,11110,16
"19,500", ,2016,2021,충무로엘크루메트로시티2, 충무로5가,중구,5,26,23.03, ,36-2,11140,2
"8,000", ,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,5,18,22.14, ,89-1,11140,13
"10,500", ,1999,2021,광희동금호트윈 오피스텔, 광희동1가,중구,5,21,29.88, ,89-1,11140,6
"14,000", ,2004,2021,타임캐슬 오피스텔, 을지로6가,중구,5,11,23.27, ,23,11140,5
"15,500", ,2005,2021,대성을지로오피스텔, 을지로5가,중구,5,11,25.49, ,77-2,11140,2
"14,000", ,2005,2021,대성을지로오피스텔, 을지로5가,중구,5,20,25.49, ,77-2,11140,14
"14,000", ,2004,2021,삼성골드캐슬, 을지로5가,중구,5,21,20.18, ,273-2,11140,8
"15,200", ,1995,2021,드림오피스타운, 을지로3가,중구,5,11,31.2, ,259-1,11140,13
"15,500", ,2014,2021,동대문 와이즈 캐슬, 흥인동,중구,5,3,19.92, ,119,11140,6
"13,000", ,2013,2021,	(91)	, 흥인동,중구,5,18,20.09, ,91,11140,9
"14,900", ,2014,2021,동대문 와이즈 캐슬, 흥인동,중구,5,21,19.92, ,119,11140,5
"39,500", ,2014,2021,청계천 두산위브더제니스, 흥인동,중구,5,28,46.74, ,13-1,11140,20
"16,000", ,2014,2021,황학동 복합시설(DUO302), 황학동,중구,5,1,22.52, ,819,11140,17
